                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2444,                 5.5002,                 3.7553,                0.54591,                 0.1161,                0.06317,                0.01636,                 2.5041,                 3.8698,                 3.2231,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2125,                 3.5064,                 2.6415,                0.56975,                0.21625,                 0.2353,                0.09978,                 1.9974,                 2.6232,                 2.6376,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8433,                 2.5684,                 2.2245,                 0.4346,                0.34977,                0.34159,                0.17765,                 1.7993,                 2.1345,                 2.3693,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.695,                 2.1412,                 2.0627,                 0.6285,                 0.4373,                0.45862,                0.27176,                 1.6126,                 1.8118,                 2.1588,               0.009835,               0.009835,               0.009835
                      5,                 1.5774,                 1.8724,                  1.937,                0.70666,                0.49988,                0.53426,                0.32427,                 1.5616,                 1.5581,                 2.0821,               0.009835,               0.009835,               0.009835
                      6,                 1.4999,                 1.6989,                 1.8678,                0.64238,                 0.5256,                0.55932,                0.35072,                 1.4752,                 1.3758,                 1.9931,                0.00978,                0.00978,                0.00978
                      7,                 1.4484,                 1.5632,                 1.8169,                0.78306,                0.53153,                0.60898,                0.38826,                 1.4153,                 1.2507,                 1.9487,               0.009725,               0.009725,               0.009725
                      8,                 1.4113,                 1.4661,                 1.7874,                0.84868,                 0.5514,                0.64378,                0.41634,                 1.3934,                 1.1677,                 1.8978,                0.00967,                0.00967,                0.00967
                      9,                 1.3938,                 1.3967,                 1.7713,                0.78193,                0.59133,                0.64919,                0.41707,                 1.4027,                 1.1205,                 1.9169,               0.009615,               0.009615,               0.009615
                     10,                 1.3581,                 1.3227,                  1.742,                0.73172,                0.60941,                0.66942,                0.43872,                 1.3669,                  1.044,                 1.8826,                0.00956,                0.00956,                0.00956
                     11,                 1.3535,                 1.2834,                 1.7312,                0.72267,                0.62359,                0.66929,                0.43525,                  1.353,                 1.0358,                 1.8723,               0.009505,               0.009505,               0.009505
